DateKey,Date,Day,Month,MonthName,Quarter,Year,WeekOfYear
20101201,2010-12-01,1,12,December,4,2010,48
20101202,2010-12-02,2,12,December,4,2010,48
20101203,2010-12-03,3,12,December,4,2010,48
20101205,2010-12-05,5,12,December,4,2010,48
20101206,2010-12-06,6,12,December,4,2010,49
20101207,2010-12-07,7,12,December,4,2010,49
20101208,2010-12-08,8,12,December,4,2010,49
20101209,2010-12-09,9,12,December,4,2010,49
20101210,2010-12-10,10,12,December,4,2010,49
20101212,2010-12-12,12,12,December,4,2010,49
20101213,2010-12-13,13,12,December,4,2010,50
20101214,2010-12-14,14,12,December,4,2010,50
20101215,2010-12-15,15,12,December,4,2010,50
20101216,2010-12-16,16,12,December,4,2010,50
20101217,2010-12-17,17,12,December,4,2010,50
20101219,2010-12-19,19,12,December,4,2010,50
20101220,2010-12-20,20,12,December,4,2010,51
20101221,2010-12-21,21,12,December,4,2010,51
20101222,2010-12-22,22,12,December,4,2010,51
20101223,2010-12-23,23,12,December,4,2010,51
20110104,2011-01-04,4,1,January,1,2011,1
20110105,2011-01-05,5,1,January,1,2011,1
20110106,2011-01-06,6,1,January,1,2011,1
20110107,2011-01-07,7,1,January,1,2011,1
20110109,2011-01-09,9,1,January,1,2011,1
20110110,2011-01-10,10,1,January,1,2011,2
20110111,2011-01-11,11,1,January,1,2011,2
20110112,2011-01-12,12,1,January,1,2011,2
20110113,2011-01-13,13,1,January,1,2011,2
20110114,2011-01-14,14,1,January,1,2011,2
20110116,2011-01-16,16,1,January,1,2011,2
20110117,2011-01-17,17,1,January,1,2011,3
20110118,2011-01-18,18,1,January,1,2011,3
20110119,2011-01-19,19,1,January,1,2011,3
20110120,2011-01-20,20,1,January,1,2011,3
20110121,2011-01-21,21,1,January,1,2011,3
20110123,2011-01-23,23,1,January,1,2011,3
20110124,2011-01-24,24,1,January,1,2011,4
20110125,2011-01-25,25,1,January,1,2011,4
20110126,2011-01-26,26,1,January,1,2011,4
20110127,2011-01-27,27,1,January,1,2011,4
20110128,2011-01-28,28,1,January,1,2011,4
20110130,2011-01-30,30,1,January,1,2011,4
20110131,2011-01-31,31,1,January,1,2011,5
20110201,2011-02-01,1,2,February,1,2011,5
20110202,2011-02-02,2,2,February,1,2011,5
20110203,2011-02-03,3,2,February,1,2011,5
20110204,2011-02-04,4,2,February,1,2011,5
20110206,2011-02-06,6,2,February,1,2011,5
20110207,2011-02-07,7,2,February,1,2011,6
20110208,2011-02-08,8,2,February,1,2011,6
20110209,2011-02-09,9,2,February,1,2011,6
20110210,2011-02-10,10,2,February,1,2011,6
20110211,2011-02-11,11,2,February,1,2011,6
20110213,2011-02-13,13,2,February,1,2011,6
20110214,2011-02-14,14,2,February,1,2011,7
20110215,2011-02-15,15,2,February,1,2011,7
20110216,2011-02-16,16,2,February,1,2011,7
20110217,2011-02-17,17,2,February,1,2011,7
20110218,2011-02-18,18,2,February,1,2011,7
20110220,2011-02-20,20,2,February,1,2011,7
20110221,2011-02-21,21,2,February,1,2011,8
20110222,2011-02-22,22,2,February,1,2011,8
20110223,2011-02-23,23,2,February,1,2011,8
20110224,2011-02-24,24,2,February,1,2011,8
20110225,2011-02-25,25,2,February,1,2011,8
